,id,name,genres,popularity,followers
984,6ioOEWNNGK40H8xrGj6XPW,XYLØ,"['indie poptimism', 'indietronica', 'pop', 'vapor soul']",66,59139
985,14byx2nRysWNtgauCXscKT,PLS&TY,[],43,10224
986,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
987,4mHAu7NX2UNsnGXjviBD9e,Brooks,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'sky room', 'tracestep']",71,22341
988,2wX6xSig4Rig5kZU6ePlWe,KSHMR,"['bass trap', 'big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'tropical house']",76,359656
989,6xQvQwZQQuq9R3TdPNbcR8,Bassjackers,"['bass trap', 'big room', 'brostep', 'deep big room', 'dutch house', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room', 'tropical house']",70,237550
990,3oAazIwC0nAYkOKVQPUC38,Sirah,[],66,10518
991,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'progressive electro house', 'tropical house']",83,691903
992,4CrDEHL7ysNabeYvL3xjUX,Skytech,[],63,5053
993,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"['big room', 'brostep', 'edm', 'electro house', 'house', 'trance', 'tropical house']",85,2389468
994,2wX6xSig4Rig5kZU6ePlWe,KSHMR,"['bass trap', 'big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'tropical house']",76,359656
995,7HqEmV7FeCi16bQyHMpIrF,VASSY,['australian dance'],66,8955
996,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
997,1vo8zHmO1KzkuU9Xxh6J7W,MOTi,"['big room', 'brostep', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'sky room', 'tropical house']",68,84156
998,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'progressive electro house', 'tropical house']",83,691903
999,4mrBetqy378Jf1y6NLszlx,VINAI,"['big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'sky room']",63,129279
1000,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"['dance pop', 'edm', 'pop', 'tropical house']",90,10639971
1001,3gk0OYeLFWYupGFRHqLSR7,Showtek,"['big room', 'deep big room', 'edm', 'electro house', 'hardstyle', 'progressive electro house', 'progressive house', 'tropical house']",72,308916
1002,1LT6utaOOPuP58rAQTCrWl,Vassy,[],61,43
1003,77AiFEVeAVj2ORpC85QVJs,Steve Aoki,"['big room', 'dance pop', 'edm', 'electro house', 'tropical house']",82,1649120
1004,5Igpc9iLZ3YGtKeYfSrrOE,Chris Lake,"['big room', 'brostep', 'deep big room', 'deep groove house', 'edm', 'electro house', 'electronic trap', 'house', 'melbourne bounce', 'moombahton', 'progressive electro house', 'progressive house', 'tropical house']",68,44385
1005,2vVNxGBvKRQMWwI5c8KmYh,Tujamo,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'tropical house']",70,71777
1006,3PtCud9dIdOv4exrzdZZ1C,MAKJ,"['big room', 'deep big room', 'edm', 'electro house', 'melbourne bounce', 'progressive electro house', 'sky room']",61,53007
1007,0CbeG1224FS58EUx4tPevZ,Timmy Trumpet,"['australian dance', 'bass trap', 'big room', 'catstep', 'deep big room', 'edm', 'melbourne bounce']",73,226891
1008,4YJR4xviDKHoelt9WKHlBa,Andrew W.K.,"['comic', 'pop punk']",61,46409
1009,3SvCpwSeoWCcjfo8zjPZKB,Autoerotique,"['bass trap', 'big room', 'brostep', 'deep big room', 'deep groove house', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton', 'progressive electro house', 'progressive house', 'sky room']",63,46112
1010,3NKKngINK1tP6BFy0WOyWk,Max Styler,['brostep'],55,5975
1011,540vIaP2JwjQb9dm3aArA4,DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']",87,1920188
1012,1l2ekx5skC4gJH8djERwh1,Don Diablo,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'tropical house']",77,593573
1013,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"['canadian pop', 'dance pop', 'pop', 'pop christmas', 'post-teen pop']",97,14770925
1014,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
