name,url
Blake Shelton,https://www.usmagazine.com/celebrities/blake-shelton/
Bob Harper,https://www.usmagazine.com/celebrities/bob-harper/
Bobbi Kristina Brown,https://www.usmagazine.com/celebrities/bobbi-kristina-brown/
Boo Boo Stewart,https://www.usmagazine.com/celebrities/boo-boo-stewart/
Brad Goreski,https://www.usmagazine.com/celebrities/brad-goreski/
Brad Paisley,https://www.usmagazine.com/celebrities/brad-paisley/
Brad Pitt,https://www.usmagazine.com/celebrities/brad-pitt/
Brad Womack,https://www.usmagazine.com/celebrities/brad-womack/
Bradley Cooper,https://www.usmagazine.com/celebrities/bradley-cooper/
Brandi Glanville,https://www.usmagazine.com/celebrities/brandi-glanville/
Brandon Davis,https://www.usmagazine.com/celebrities/brandon-davis/
Brandy Norwood,https://www.usmagazine.com/celebrities/brandy-norwood/
Bret Michaels,https://www.usmagazine.com/celebrities/bret-michaels/
Brian Austin Green,https://www.usmagazine.com/celebrities/brian-austin-green/
Bridget Marquardt,https://www.usmagazine.com/celebrities/bridget-marquardt/
Bridget Moynahan,https://www.usmagazine.com/celebrities/bridget-moynahan/
Bristol Palin,https://www.usmagazine.com/celebrities/bristol-palin/
Britney Spears,https://www.usmagazine.com/celebrities/britney-spears/
Brittany Murphy,https://www.usmagazine.com/celebrities/brittany-murphy/
Brittany Snow,https://www.usmagazine.com/celebrities/brittany-snow/
Bruno Mars,https://www.usmagazine.com/celebrities/bruno-mars/
Bryce Dallas Howard,https://www.usmagazine.com/celebrities/bryce-dallas-howard/
Cacee Cobb,https://www.usmagazine.com/celebrities/cacee-cobb/
Caitlyn Jenner,https://www.usmagazine.com/celebrities/caitlyn-jenner/
Caleb Followill,https://www.usmagazine.com/celebrities/caleb-followill/
Calista Flockhart,https://www.usmagazine.com/celebrities/calista-flockhart/
Cam Gigandet,https://www.usmagazine.com/celebrities/cam-gigandet/
Cameron Diaz,https://www.usmagazine.com/celebrities/cameron-diaz/
Camila Alves,https://www.usmagazine.com/celebrities/camila-alves/
Camilla Belle,https://www.usmagazine.com/celebrities/camilla-belle/
Camille Grammer,https://www.usmagazine.com/celebrities/camille-grammer/
Candice Accola,https://www.usmagazine.com/celebrities/candice-accola/
Cara Delevingne,https://www.usmagazine.com/celebrities/cara-delevingne/
Carey Mulligan,https://www.usmagazine.com/celebrities/carey-mulligan/
Carly Rae Jepsen,https://www.usmagazine.com/celebrities/carly-rae-jepsen/
Carmen Electra,https://www.usmagazine.com/celebrities/carmen-electra/
Caroline Manzo,https://www.usmagazine.com/celebrities/caroline-manzo/
Carrie Ann Inaba,https://www.usmagazine.com/celebrities/carrie-ann-inaba/
Carrie Underwood,https://www.usmagazine.com/celebrities/carrie-underwood/
Carson Daly,https://www.usmagazine.com/celebrities/carson-daly/
Cash Warren,https://www.usmagazine.com/celebrities/cash-warren/
Cat Deeley,https://www.usmagazine.com/celebrities/cat-deeley/
Cate Blanchett,https://www.usmagazine.com/celebrities/cate-blanchett/
Catherine Malandrino,https://www.usmagazine.com/celebrities/catherine-malandrino/
Catherine Zeta-Jones,https://www.usmagazine.com/celebrities/catherine-zeta-jones/
Chace Crawford,https://www.usmagazine.com/celebrities/chace-crawford/
Chad Kroeger,https://www.usmagazine.com/celebrities/chad-kroeger/
Chad Michael Murray,https://www.usmagazine.com/celebrities/chad-michael-murray/
Chad Ochocinco,https://www.usmagazine.com/celebrities/chad-ochocinco/
Chandra Wilson,https://www.usmagazine.com/celebrities/chandra-wilson/
Channing Tatum,https://www.usmagazine.com/celebrities/channing-tatum/
Charlie Sheen,https://www.usmagazine.com/celebrities/charlie-sheen/
Charlize Theron,https://www.usmagazine.com/celebrities/charlize-theron/
Chelsea Clinton,https://www.usmagazine.com/celebrities/chelsea-clinton/
Chelsea Handler,https://www.usmagazine.com/celebrities/chelsea-handler/
Cheyenne Kimball,https://www.usmagazine.com/celebrities/cheyenne-kimball/
Chris Evans,https://www.usmagazine.com/celebrities/chris-evans/
Chris Harrison,https://www.usmagazine.com/celebrities/chris-harrison/
Chris Pratt,https://www.usmagazine.com/celebrities/chris-pratt/
Christian Bale,https://www.usmagazine.com/celebrities/christian-bale/
Christian Slater,https://www.usmagazine.com/celebrities/christian-slater/
Christina Aguilera,https://www.usmagazine.com/celebrities/christina-aguilera/
Christina Applegate,https://www.usmagazine.com/celebrities/christina-applegate/
Christina Hendricks,https://www.usmagazine.com/celebrities/christina-hendricks/
Christina Milian,https://www.usmagazine.com/celebrities/christina-milian/
Christine Taylor,https://www.usmagazine.com/celebrities/christine-taylor/
Ciara,https://www.usmagazine.com/celebrities/ciara/
Cindy Crawford,https://www.usmagazine.com/celebrities/cindy-crawford/
Cisco Adler,https://www.usmagazine.com/celebrities/cisco-adler/
Claire Danes,https://www.usmagazine.com/celebrities/claire-danes/
Cobra Starship,https://www.usmagazine.com/celebrities/cobra-starship/
Colin Farrell,https://www.usmagazine.com/celebrities/colin-farrell/
Colton Haynes,https://www.usmagazine.com/celebrities/colton-haynes/
Conan O'Brien,https://www.usmagazine.com/celebrities/conan-o-brien/
Criss Angel,https://www.usmagazine.com/celebrities/criss-angel/
Cristiano Ronaldo,https://www.usmagazine.com/celebrities/cristiano-ronaldo/
Crystal Harris,https://www.usmagazine.com/celebrities/crystal-harris/
Cynthia Nixon,https://www.usmagazine.com/celebrities/cynthia-nixon/
Daisy De La Hoya,https://www.usmagazine.com/celebrities/daisy-de-la-hoya/
Dakota Fanning,https://www.usmagazine.com/celebrities/dakota-fanning/
Dane Cook,https://www.usmagazine.com/celebrities/dane-cook/
Daniel Craig,https://www.usmagazine.com/celebrities/daniel-craig/
Daniel Radcliffe,https://www.usmagazine.com/celebrities/daniel-radcliffe/
Danielle Staub,https://www.usmagazine.com/celebrities/danielle-staub/
Darren Criss,https://www.usmagazine.com/celebrities/darren-criss/
Dave Annable,https://www.usmagazine.com/celebrities/dave-annable/
Dave Navarro,https://www.usmagazine.com/celebrities/dave-navarro/
David Arquette,https://www.usmagazine.com/celebrities/david-arquette/
David Beckham,https://www.usmagazine.com/celebrities/david-beckham/
